YEAR, MONTH, DAY, SLAT, SLON, MAG, MAGTYPE
2011, 03, 11, +38.296, +142.498, 9.1, MW
2004, 12, 26, +3.413, +95.901, 9.0, MW
2010, 02, 27, 36.148, 72.933, 8.8, MW
2005, 03, 28, +2.096, +97.113, 8.6, MW
2012, 04, 11, +2.238, +93.014, 8.6, MW
2007, 09, 12, 4.464, +101.396, 8.5, MW
2006, 06, 01, +19.054, +120.884, 8.4, MS
1997, 08, 26, +42.760, +43.400, 8.4, Mpv
2001, 06, 23, 16.303, 73.561, 8.4, MW
2013, 05, 24, +54.815, +153.391, 8.3, MW
2006, 11, 15, +46.681, +153.211, 8.3, MW
2003, 09, 25, +41.749, +143.873, 8.3, MW
2015, 09, 16, 31.573, 71.674, 8.3, mww
1994, 10, 04, +43.660, +147.380, 8.2, mw
2012, 04, 11, +0.767, +92.428, 8.2, MW
2018, 08, 19, 18.113, 178.154, 8.2, mww
1994, 06, 09, 13.872, 67.513, 8.2, mw
2009, 09, 29, 15.512, 171.937, 8.1, MW
1996, 02, 17, 0.939, +136.947, 8.1, mw
1997, 12, 04, +42.000, +45.030, 8.1, Mpv
2004, 12, 23, 49.710, +161.576, 8.1, MW
2014, 04, 01, 19.619, 70.788, 8.1, MW
1985, 09, 19, +18.538, 102.324, 8.1, MS
2007, 01, 13, +46.231, +154.503, 8.1, MW
2017, 09, 08, +15.036, 93.907, 8.1, Mww
1989, 05, 23, 52.371, +160.642, 8.1, mw
2007, 04, 01, 8.447, +157.026, 8.1, MW
2006, 06, 05, +17.992, +119.075, 8.0, MS
2007, 08, 15, 13.384, 76.555, 8.0, MW
1995, 07, 30, 23.303, 70.205, 8.0, mw
2019, 05, 26, 5.813, 75.278, 8.0, Mww
2000, 11, 16, 3.975, +152.182, 8.0, Mw
1999, 08, 18, +40.816, +30.622, 8.0, MD
2006, 05, 03, 20.163, 174.145, 8.0, MW
2017, 01, 22, 6.215, +155.144, 7.9, mww
1995, 10, 09, +19.116, 104.202, 7.9, mw
2018, 01, 23, +56.046, 149.073, 7.9, Mww
2002, 11, 03, +63.629, 147.611, 7.9, MW
2013, 02, 06, 10.864, +165.142, 7.9, MW
2016, 12, 17, 4.505, +153.522, 7.9, mww
2006, 02, 15, +9.624, +121.950, 7.9, mb
2015, 04, 25, +28.130, +84.717, 7.9, MW
2000, 06, 18, 13.798, +97.424, 7.9, Mw
2018, 09, 06, 18.495, +179.356, 7.9, mww
2007, 09, 12, 2.616, +100.726, 7.9, Mw
2014, 06, 23, +51.703, +178.643, 7.9, MW
2000, 06, 04, 4.692, +102.141, 7.9, Mw
1994, 06, 08, +24.470, +121.750, 7.9, mL
2011, 03, 11, +36.227, +141.088, 7.9, MW
2008, 05, 12, +31.064, +103.372, 7.9, MW
2015, 05, 30, +27.828, +140.494, 7.9, MW
2009, 10, 07, 12.474, +166.369, 7.8, MW
2013, 11, 17, 60.378, 46.588, 7.8, MW
2013, 09, 24, +26.911, +65.531, 7.8, MW
2010, 10, 25, 3.525, +100.104, 7.8, MW
2010, 04, 06, +2.360, +97.111, 7.8, MW
2009, 07, 15, 45.834, +166.636, 7.8, MW
1997, 10, 14, 22.145, 176.720, 7.8, mw
2016, 03, 02, 4.952, +94.330, 7.8, mww
