YEAR, MONTH, DTEMPC
1850, 01, -0.844
1850, 02, -0.053
1850, 03, -0.699
1850, 04, -0.586
1850, 05, -0.420
1850, 06, -0.002
1850, 07, -0.079
1850, 08, -0.065
1850, 09, -0.342
1850, 10, -0.543
1850, 11, -0.226
1850, 12, -0.213
1851, 01, -0.174
1851, 02, -0.465
1851, 03, -0.695
1851, 04, -0.404
1851, 05, -0.189
1851, 06, -0.062
1851, 07, -0.171
1851, 08, -0.123
1851, 09, 0.140
1851, 10, 0.107
1851, 11, 0.030
1851, 12, 0.062
1852, 01, 0.071
1852, 02, -0.319
1852, 03, -0.466
1852, 04, -0.565
1852, 05, -0.116
1852, 06, 0.193
1852, 07, -0.125
1852, 08, 0.075
1852, 09, -0.000
1852, 10, -0.135
1852, 11, -0.217
1852, 12, 0.296
1853, 01, 0.170
1853, 02, -0.039
1853, 03, -0.298
1853, 04, -0.335
1853, 05, -0.117
1853, 06, 0.017
1853, 07, 0.022
1853, 08, -0.113
1853, 09, -0.371
1853, 10, -0.313
1853, 11, -0.340
1853, 12, -0.429
1854, 01, -0.326
1854, 02, -0.174
1854, 03, -0.049
1854, 04, -0.235
1854, 05, 0.024
1854, 06, -0.146
1854, 07, 0.077
1854, 08, 0.190
1854, 09, -0.094
1854, 10, 0.011
1854, 11, -0.356
1854, 12, 0.153
1855, 01, 0.023
1855, 02, -0.530
1855, 03, -0.181
1855, 04, 0.108
1855, 05, -0.171
1855, 06, 0.010
1855, 07, -0.066
1855, 08, -0.149
1855, 09, -0.340
1855, 10, 0.010
1855, 11, -0.215
1855, 12, -0.826
1856, 01, -0.067
1856, 02, -0.372
1856, 03, -0.711
1856, 04, -0.414
1856, 05, -0.041
1856, 06, -0.144
1856, 07, -0.340
1856, 08, -0.370
1856, 09, -0.443
1856, 10, -0.348
1856, 11, -0.855
1856, 12, -0.482
1857, 01, -0.574
1857, 02, -0.194
1857, 03, -0.387
1857, 04, -0.694
1857, 05, -0.589
1857, 06, -0.223
1857, 07, -0.439
1857, 08, -0.167
1857, 09, -0.391
1857, 10, -0.408
1857, 11, -0.698
1857, 12, -0.149
1858, 01, -0.297
1858, 02, -0.813
1858, 03, -0.624
1858, 04, -0.281
1858, 05, -0.383
1858, 06, -0.460
1858, 07, -0.168
1858, 08, -0.369
1858, 09, -0.475
1858, 10, 0.052
1858, 11, -0.859
