YEAR, MONTH, DTEMPC
1850, 01, -0.555
1850, 02, -0.522
1850, 03, -0.760
1850, 04, -0.540
1850, 05, -0.234
1850, 06, -0.426
1850, 07, -0.172
1850, 08, -0.404
1850, 09, -0.532
1850, 10, -0.358
1850, 11, -0.149
1850, 12, -0.305
1851, 01, -0.420
1851, 02, -0.246
1851, 03, -0.257
1851, 04, -0.479
1851, 05, -0.407
1851, 06, -0.334
1851, 07, -0.253
1851, 08, -0.189
1851, 09, -0.338
1851, 10, -0.222
1851, 11, -0.077
1851, 12, -0.162
1852, 01, -0.701
1852, 02, -0.636
1852, 03, -0.533
1852, 04, -0.548
1852, 05, -0.307
1852, 06, -0.272
1852, 07, 0.092
1852, 08, -0.483
1852, 09, -0.245
1852, 10, -0.301
1852, 11, -0.172
1852, 12, -0.152
1853, 01, -0.532
1853, 02, -0.616
1853, 03, -0.317
1853, 04, -0.372
1853, 05, -0.420
1853, 06, -0.368
1853, 07, -0.139
1853, 08, -0.185
1853, 09, -0.438
1853, 10, -0.413
1853, 11, -0.172
1853, 12, -0.444
1854, 01, -0.401
1854, 02, -0.395
1854, 03, -0.518
1854, 04, -0.473
1854, 05, -0.493
1854, 06, -0.290
1854, 07, -0.531
1854, 08, -0.527
1854, 09, -0.138
1854, 10, -0.393
1854, 11, -0.379
1854, 12, -0.621
1855, 01, -0.361
1855, 02, -0.278
1855, 03, -0.427
1855, 04, -0.552
1855, 05, -0.504
1855, 06, -0.342
1855, 07, -0.477
1855, 08, -0.182
1855, 09, -0.329
1855, 10, -0.444
1855, 11, -0.207
1855, 12, -0.211
1856, 01, -0.173
1856, 02, -0.380
1856, 03, -0.334
1856, 04, -0.347
1856, 05, -0.220
1856, 06, -0.438
1856, 07, -0.267
1856, 08, -0.243
1856, 09, -0.475
1856, 10, -0.430
1856, 11, -0.357
1856, 12, -0.410
1857, 01, -0.450
1857, 02, -0.489
1857, 03, -0.475
1857, 04, -0.605
1857, 05, -0.552
1857, 06, -0.399
1857, 07, -0.643
1857, 08, -0.484
1857, 09, -0.391
1857, 10, -0.540
1857, 11, -0.633
1857, 12, -0.565
1858, 01, -0.758
1858, 02, -0.594
1858, 03, -0.470
1858, 04, -0.738
1858, 05, -0.926
1858, 06, -0.708
1858, 07, -0.488
1858, 08, -0.178
1858, 09, -0.185
1858, 10, -0.473
1858, 11, -0.425
1858, 12, -0.422
1859, 01, -0.398
1859, 02, -0.368
1859, 03, -0.455
1859, 04, -0.410
1859, 05, -0.463
1859, 06, -0.335
1859, 07, -0.374
1859, 08, -0.291
1859, 09, -0.622
1859, 10, -0.286
1859, 11, -0.273
1859, 12, -0.001
1860, 01, -0.152
1860, 02, -0.158
1860, 03, -0.388
1860, 04, -0.386
1860, 05, -0.447
1860, 06, -0.400
1860, 07, -0.304
1860, 08, -0.313
1860, 09, -0.245
1860, 10, -0.376
1860, 11, -0.316
1860, 12, -0.505
1861, 01, -0.288
1861, 02, -0.535
1861, 03, -0.745
1861, 04, -0.347
1861, 05, -0.884
1861, 06, -0.425
1861, 07, -0.756
1861, 08, -0.351
1861, 09, -0.409
1861, 10, -0.578
1861, 11, -0.568
1861, 12, -0.351
1862, 01, -0.503
1862, 02, -0.400
1862, 03, -0.190
1862, 04, -0.146
1862, 05, -0.112
1862, 06, -0.231
1862, 07, -0.358
1862, 08, -0.789
1862, 09, -0.540
1862, 10, -0.428
1862, 11, -0.479
1862, 12, -0.432
1863, 01, -0.328
1863, 02, -0.188
1863, 03, -0.346
1863, 04, -0.229
1863, 05, -0.563
1863, 06, -0.499
1863, 07, -0.335
1863, 08, -0.394
1863, 09, -0.506
1863, 10, -0.267
1863, 11, -0.287
1863, 12, -0.453
1864, 01, -0.777
1864, 02, -0.583
1864, 03, -0.461
1864, 04, -0.550
1864, 05, -0.356
1864, 06, -0.546
1864, 07, -0.430
1864, 08, -0.689
1864, 09, -0.492
1864, 10, -0.471
1864, 11, -0.121
1864, 12, -0.230
1865, 01, -0.316
1865, 02, -0.258
1865, 03, -0.161
1865, 04, -0.126
1865, 05, -0.462
1865, 06, -0.478
1865, 07, -0.342
1865, 08, -0.189
1865, 09, -0.468
1865, 10, -0.295
1865, 11, -0.392
1865, 12, -0.275
1866, 01, -0.244
1866, 02, -0.302
1866, 03, -0.558
1866, 04, -0.234
1866, 05, -0.270
1866, 06, -0.244
1866, 07, -0.052
1866, 08, -0.303
1866, 09, -0.409
1866, 10, -0.211
1866, 11, -0.294
