CUDA available. Using GPU acceleration.
Cross-entropy loss for epoch 1: 0.49774104356765747
Training error for epoch 1: 0.037833333015441895
Cross-entropy loss for epoch 2: 0.0946616381406784
Training error for epoch 2: 0.02226666733622551
Cross-entropy loss for epoch 3: 0.06421247869729996
Training error for epoch 3: 0.015783334150910378
Cross-entropy loss for epoch 4: 0.049995146691799164
Training error for epoch 4: 0.012683333829045296
Cross-entropy loss for epoch 5: 0.04238959774374962
Training error for epoch 5: 0.010983332991600037
Cross-entropy loss for epoch 6: 0.03666219860315323
Training error for epoch 6: 0.008616666309535503
Cross-entropy loss for epoch 7: 0.03103712946176529
Training error for epoch 7: 0.008283333852887154
Cross-entropy loss for epoch 8: 0.029609646648168564
Training error for epoch 8: 0.009233333170413971
Cross-entropy loss for epoch 9: 0.025694238021969795
Training error for epoch 9: 0.0070500001311302185
Cross-entropy loss for epoch 10: 0.02159033715724945
Training error for epoch 10: 0.009349999949336052
Cross-entropy loss for epoch 11: 0.02122635580599308
Training error for epoch 11: 0.005066666752099991
Cross-entropy loss for epoch 12: 0.019737079739570618
Training error for epoch 12: 0.006183333229273558
Cross-entropy loss for epoch 13: 0.01766633242368698
Training error for epoch 13: 0.004366666544228792
Cross-entropy loss for epoch 14: 0.015041611157357693
Training error for epoch 14: 0.003116666804999113
Cross-entropy loss for epoch 15: 0.013987756334245205
Training error for epoch 15: 0.0032166666351258755
Cross-entropy loss for epoch 16: 0.011729753576219082
Training error for epoch 16: 0.002050000010058284
Cross-entropy loss for epoch 17: 0.011873056180775166
Training error for epoch 17: 0.002316666767001152
Cross-entropy loss for epoch 18: 0.01024749968200922
Training error for epoch 18: 0.0020666667260229588
Cross-entropy loss for epoch 19: 0.008803380653262138
Training error for epoch 19: 0.004500000271946192
Cross-entropy loss for epoch 20: 0.009576413780450821
Training error for epoch 20: 0.0017666666535660625
Cross-entropy loss for epoch 21: 0.010306148789823055
Training error for epoch 21: 0.0011166667100042105
Cross-entropy loss for epoch 22: 0.007934571243822575
Training error for epoch 22: 0.0023499999660998583
Cross-entropy loss for epoch 23: 0.006439677905291319
Training error for epoch 23: 0.0012666666880249977
Cross-entropy loss for epoch 24: 0.004688269458711147
Training error for epoch 24: 0.0013833333505317569
Cross-entropy loss for epoch 25: 0.003945669624954462
Training error for epoch 25: 0.00048333333688788116
Cross-entropy loss for epoch 26: 0.003886731807142496
Training error for epoch 26: 0.0007666666642762721
Cross-entropy loss for epoch 27: 0.004827374126762152
Training error for epoch 27: 0.0010499999625608325
Cross-entropy loss for epoch 28: 0.006020397879183292
Training error for epoch 28: 0.0010166666470468044
Cross-entropy loss for epoch 29: 0.007253998890519142
Training error for epoch 29: 0.0011500000255182385
Cross-entropy loss for epoch 30: 0.0039786989800632
Training error for epoch 30: 0.0013166667195037007
Cross-entropy loss for epoch 31: 0.003925965633243322
Training error for epoch 31: 0.0013000000035390258
Cross-entropy loss for epoch 32: 0.00554412929341197
Training error for epoch 32: 0.0017666666535660625
Cross-entropy loss for epoch 33: 0.006373147014528513
Training error for epoch 33: 0.003016666742041707
Cross-entropy loss for epoch 34: 0.0034095332957804203
Training error for epoch 34: 0.00071666669100523
Cross-entropy loss for epoch 35: 0.0024493257515132427
Training error for epoch 35: 0.00016666666488163173
Cross-entropy loss for epoch 36: 0.0019049295224249363
Training error for epoch 36: 0.0008166666957549751
Cross-entropy loss for epoch 37: 0.0020059391390532255
Training error for epoch 37: 0.0002500000118743628
Cross-entropy loss for epoch 38: 0.0011797446059063077
Training error for epoch 38: 3.333333370392211e-05
Cross-entropy loss for epoch 39: 0.0005534540396183729
Training error for epoch 39: 1.6666666851961054e-05
Cross-entropy loss for epoch 40: 0.0003546601510606706
Training error for epoch 40: 1.6666666851961054e-05
Cross-entropy loss for epoch 41: 0.0002881671825889498
Training error for epoch 41: 1.6666666851961054e-05
Cross-entropy loss for epoch 42: 0.00028975665918551385
Training error for epoch 42: 1.6666666851961054e-05
Cross-entropy loss for epoch 43: 0.0003026880731340498
Training error for epoch 43: 0.0
Cross-entropy loss for epoch 44: 0.000190352788195014
Training error for epoch 44: 0.0
Cross-entropy loss for epoch 45: 0.0001486552500864491
Training error for epoch 45: 0.0
Cross-entropy loss for epoch 46: 0.00012814420915674418
Training error for epoch 46: 0.0
Cross-entropy loss for epoch 47: 0.00013791480159852654
Training error for epoch 47: 0.0
Cross-entropy loss for epoch 48: 0.00010872237908188254
Training error for epoch 48: 0.0
Cross-entropy loss for epoch 49: 9.263490937883034e-05
Training error for epoch 49: 0.0
Cross-entropy loss for epoch 50: 8.490728941978887e-05
Training error for epoch 50: 0.0
Testing error: 0.008999999612569809
